image_to_select2,OS,image2_label,__datetime,date,__experimentName,trials.thisTrialN,__participant,key_resp.rt,__session,mouse.x,trials.thisN,mouse.rightButton,condition,session,image_shown,participant,mouse.midButton,frameRate,psychopyVersion,mouse.leftButton,image2_location,mouse_2.rightButton,trials.thisIndex,mouse_2.y,text1,expName,image_to_select1,key_resp.keys,mouse.y,image1_location,prompt1,trials.thisRepN,image1_label,mouse_2.leftButton,mouse_2.midButton,mouse_2.x,trials.ran,mouse_2.clicked_name
﻿known_objects/backpack.png,MacIntel,backpack,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,0,PARTICIPANT,,001,0.030659816576086955,0,0,not,001,known_objects/backpack.png,,0,59.880239520968516,2022.2.5,1,left,0,6,-0.009336786684782609,"This is a backpack, not a pank.",metalinguistic_conjunctives,NOUN-2-600DPI/2014-600.jpg,,-0.03677394701086956,right,Select the pank.,0,pank,1,0,-0.4340183423913043,1,image_2
﻿known_objects/headphones.png,MacIntel,headphones,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,1,PARTICIPANT,,001,0.005443274456521739,1,0,label,001,known_objects/headphones.png,,0,59.880239520968516,2022.2.5,1,left,0,3,-0.04740574048913043,This is a wupt.,metalinguistic_conjunctives,NOUN-2-600DPI/2007-600.jpg,,-0.03965692934782609,right,Select the wupt.,0,wupt,1,0,-0.46066151494565216,1,image_3
﻿known_objects/lamp.png,MacIntel,lamp,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,2,PARTICIPANT,,001,-0.07218495244565218,2,0,and,001,known_objects/lamp.png,,0,59.880239520968516,2022.2.5,1,left,0,4,-0.007010020380434782,This is a lamp and a fimp.,metalinguistic_conjunctives,NOUN-2-600DPI/2010-600.jpg,,-0.03126698369565217,right,Select the fimp.,0,fimp,1,0,-0.5648097826086956,1,image_3
﻿known_objects/car.png,MacIntel,car,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,3,PARTICIPANT,,001,0.03434103260869565,3,0,not,001,known_objects/car.png,,0,59.880239520968516,2022.2.5,1,left,0,2,-0.017068614130434784,"This is a car, not a zav.",metalinguistic_conjunctives,NOUN-2-600DPI/2005-600.jpg,,-0.06910665760869565,right,Select the zav.,0,zav,1,0,0.5280782948369566,1,image_2
﻿known_objects/camera.png,MacIntel,camera,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,4,PARTICIPANT,,001,0.00205078125,4,0,mutual_ex,001,known_objects/camera.png,,0,59.880239520968516,2022.2.5,1,left,0,9,-0.031364639945652174,This is a camera.,metalinguistic_conjunctives,NOUN-2-600DPI/2041-600.jpg,,-0.05097231657608696,right,Select the hux.,0,hux,1,0,0.5050144361413044,1,image_2
﻿known_objects/wrench.png,MacIntel,wrench,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,5,PARTICIPANT,,001,-0.004025135869565218,5,0,label,001,known_objects/wrench.png,,0,59.880239520968516,2022.2.5,1,right,0,7,-0.020732846467391305,This is a jang.,metalinguistic_conjunctives,NOUN-2-600DPI/2017-600.jpg,,-0.02518257472826087,left,Select the Jang.,0,jang,1,0,-0.5047511888586956,1,image_3
﻿known_objects/cup.png,MacIntel,cup,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,6,PARTICIPANT,,001,0.013192085597826086,6,0,or,001,known_objects/cup.png,,0,59.880239520968516,2022.2.5,1,left,0,1,-0.04948199728260869,This is a cup or a hane.,metalinguistic_conjunctives,NOUN-2-600DPI/2003-600.jpg,,-0.04966032608695652,right,Select the hane.,0,hane,1,0,0.4689368206521739,1,image_3
﻿known_objects/clock.png,MacIntel,clock,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,7,PARTICIPANT,,001,0.014389436141304349,7,0,or,001,known_objects/clock.png,,0,59.880239520968516,2022.2.5,1,left,0,5,-0.06136633831521739,This is a clock or a dite.,metalinguistic_conjunctives,NOUN-2-600DPI/2013-600.jpg,,-0.04500254755434783,right,Select the dite.,0,dite,1,0,-0.5460343070652174,1,image_3
﻿known_objects/phone.png,MacIntel,phone,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,8,PARTICIPANT,,001,0.03201851222826087,8,0,mutual_ex,001,known_objects/phone.png,,0,59.880239520968516,2022.2.5,1,right,0,8,-0.026897927989130436,This is a phone.,metalinguistic_conjunctives,NOUN-2-600DPI/2030-600.jpg,,-0.034120244565217395,left,Select the bem.,0,bem,1,0,0.5006538722826087,1,image_2
﻿known_objects/baseball.png,MacIntel,baseball,2024-01-09_10h11.48.348,2024-01-09_10h12.21.925,metalinguistic_conjunction,9,PARTICIPANT,,001,-0.016822350543478262,9,0,and,001,known_objects/baseball.png,,0,59.880239520968516,2022.2.5,1,right,0,0,-0.002670686141304348,This is a baseball and a beag.,metalinguistic_conjunctives,NOUN-2-600DPI/2015-600.jpg,,-0.01814283288043478,left,Select the beag.,0,beag,1,0,0.48277004076086955,1,image_3
