condition,image_shown,image_to_select1,image_to_select2,image1_label,image2_label,text1,prompt1,audio_text,audio_prompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,image.started,text_4.started,sound_1.started,text.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,image_selection.started,image1_location,image2_location,image_2.started,image_3.started,text_2.started,mouse_2.started,sound_2.started,image_selection.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,blank_screen.started,text_3.started,text_3.stopped,blank_screen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
and,known_objects/baseball.png,NOUN-2-600DPI/2015-600.jpg,known_objects/baseball.png,beag,baseball,This is a baseball and a beag.,Choose the beag.,audio/audio_text/amp_normed/Baseball_and_Beag.wav,audio/audio_prompt/amp_normed/Baseball_and_Beag.wav,0,0,0,0,0.18955420004203916,,0.11496599996462464,0.18955420004203916,0.18955420004203916,0.1885706333753963,0.5077273002825677,0.509451299905777,5.610253400169313,0.12,-0.09833333333333333,1,0,0,5.61121950019151,right,left,5.939565300010145,5.939565300010145,5.939565300010145,0.3184062000364065,5.94099653357019,8.144777399953455,0.47,-0.04666666666666667,1,0,0,image_3,8.145390000194311,8.157695400062948,8.70595550024882,8.643123200163245,,001,2024-05-15_13h58.31.483,Metalinguistic Conjunctives,2024.1.4,None,2024-05-15 13h58.39.149843 -0700,
,,,,,,,,,,,,,,8.70595550024882,,8.643316099885851,8.70595550024882,8.70595550024882,8.691074300277979,9.157773999962956,0.5144322998821735,9.893788900226355,0.055,-0.008333333333333333,1,0,0,9.90552379982546,left,right,10.00602289987728,10.00602289987728,10.00602289987728,0.09199160011485219,10.007768166686098,,,,,,,,,,,,,,,,,,,
