condition,image_shown,image_to_select1,image_to_select2,image1_label,image2_label,text1,prompt1,audio_text,audio_prompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,image.started,text_4.started,text.started,sound_1.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,image_selection.started,image1_location,image2_location,image_2.started,image_3.started,text_2.started,sound_2.started,mouse_2.started,image_selection.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,blank_screen.started,text_3.started,text_3.stopped,blank_screen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mutual_ex,known_objects/phone.png,NOUN-2-600DPI/2030-600.jpg,known_objects/phone.png,bem,phone,This is a phone.,Choose the bem.,audio/audio_text/amp_normed/Phone.wav,audio/audio_prompt/amp_normed/Phone.wav,0,0,0,8,0.17313820030540228,,0.13063180027529597,0.17313820030540228,0.17313820030540228,0.505793500225991,0.5058557666527729,0.7577112000435591,3.825454100035131,0.12166666666666667,-0.3283333333333333,1,0,0,3.8259302000515163,right,left,4.139801100362092,4.139801100362092,4.139801100362092,4.340769166654597,0.7502712998539209,6.011023900005966,-0.49,-0.03,1,0,0,image_2,6.011783100198954,6.022235100157559,6.7873917003162205,6.5079251001589,,001,2024-05-15_14h06.20.382,Metalinguistic Conjunctives,2024.1.4,None,2024-05-15 14h06.27.492075 -0700,
label,NOUN-2-600DPI/2017-600.jpg,NOUN-2-600DPI/2017-600.jpg,known_objects/wrench.png,jang,wrench,This is a jang.,Choose the Jang.,audio/audio_text/amp_normed/Jang.wav,audio/audio_prompt/amp_normed/Jang.wav,0,1,1,7,6.7873917003162205,,6.508121400140226,6.7873917003162205,6.7873917003162205,7.023010200355202,7.022677466801057,0.7633620002306998,7.8765344000421464,-0.02666666666666667,-0.235,1,0,0,7.892671199981123,left,right,8.021740199998021,8.021740199998021,8.021740199998021,8.405847566730033,0.7655091998167336,11.709340300410986,0.48833333333333334,0.085,1,0,0,image_2,11.709926099982113,11.722452100366354,12.321511700283736,12.208134400192648,,001,2024-05-15_14h06.20.382,Metalinguistic Conjunctives,2024.1.4,None,2024-05-15 14h06.27.492075 -0700,
not,known_objects/backpack.png,NOUN-2-600DPI/2014-600.jpg,known_objects/backpack.png,pank,backpack,"This is a backpack, not a pank.",Choose the pank.,audio/audio_text/amp_normed/Backpack_not_Pank.wav,audio/audio_prompt/amp_normed/Backpack_not_Pank.wav,0,2,2,6,12.321511700283736,,12.208331800065935,12.321511700283736,12.321511700283736,12.72243870003149,,0.7645768998190761,17.80914660030976,-0.02,-0.24166666666666667,1,0,0,17.809461900033057,left,right,18.03927360009402,18.03927360009402,18.03927360009402,18.322534466690072,0.7654474000446498,39.843329600058496,0.44666666666666666,-0.006666666666666667,1,0,0,image_3,39.84380210004747,39.85597759997472,,40.35656910017133,,001,2024-05-15_14h06.20.382,Metalinguistic Conjunctives,2024.1.4,None,2024-05-15 14h06.27.492075 -0700,
and,known_objects/baseball.png,NOUN-2-600DPI/2015-600.jpg,known_objects/baseball.png,beag,baseball,This is a baseball and a beag.,Choose the beag.,audio/audio_text/amp_normed/Baseball_and_Beag.wav,audio/audio_prompt/amp_normed/Baseball_and_Beag.wav,0,3,3,0,40.38769120024517,,40.356762000359595,40.38769120024517,40.38769120024517,40.85475150030106,40.854894766646126,0.7632150002755225,42.541117100045085,-0.035,-0.028333333333333332,1,0,0,42.552664400078356,right,left,42.65508620021865,42.65508620021865,42.65508620021865,43.05568366690228,0.7549672001041472,44.04266370041296,0.49166666666666664,0.01,1,0,0,image_3,44.06266800034791,44.071778499986976,44.58845699997619,44.55856230016798,,001,2024-05-15_14h06.20.382,Metalinguistic Conjunctives,2024.1.4,None,2024-05-15 14h06.27.492075 -0700,
,,,,,,,,,,,,,,44.58845699997619,,44.55875500012189,44.58845699997619,44.58845699997619,45.07316420041025,,0.762353700120002,89.4286931999959,0.4533333333333333,-0.26166666666666666,1,0,0,89.42911250004545,right,left,89.58953080000356,89.58953080000356,89.58953080000356,,,,,,,,,,,,,,,,,,,,,
