condition,image_shown,image_to_select1,image_to_select2,image1_label,image2_label,text1,prompt1,audio_text,audio_prompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,text.started,text.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_4.started,text_4.stopped,sound_1.started,sound_1.stopped,image1_location,image2_location,image_2.started,image_2.stopped,image_3.started,image_3.stopped,text_2.started,text_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
and,known_objects/lamp.png,NOUN-2-600DPI/2010-600.jpg,known_objects/lamp.png,fimp,lamp,This is a lamp and a fimp.,Select the fimp.,audio/audio_text/amp_normed/Lamp_and_Fimp.wav,audio/audio_prompt/amp_normed/Lamp_and_Fimp.wav,0,0,0,4,33.87981990003027,None,34.28681860002689,None,-0.047222223,-0.042592593,1,0,0,0.5139940585941076,None,33.87981990003027,None,33.80615915856324,None,right,left,37.25469519989565,None,37.25469519989565,None,37.25469519989565,None,0.4398148,-0.030555556,1,0,0,image_3,0.00737885944545269,None,37.2481567595154,None,44.500671699875966,None,,001,2024_May_15_1323,Metalinguistic Conjunctives,2021.2.3,47.80674598994518,
,,,,,,,,,,,,,,45.67891589994542,None,46.15981069998816,None,-0.055555556,-0.18981482,1,0,0,0.5071294594090432,None,45.67891589994542,None,45.68243505943101,None,right,left,48.38418879988603,None,48.38418879988603,None,48.38418879988603,None,0.47685185,0.0027777778,1,0,0,image_2,0.0016007593367248774,None,48.37081145935226,None,,,,,,,,,
